Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2021-11-24,230.679993,232.130005,230.580002,232.009995,232.009995,51399,96.338,96.18,96.45,96.145,15610,0.24%
2021-11-23,233.440002,233.529999,232.960007,233.369995,233.369995,44152,96.104,96.73,96.77,96.01,22020,-0.79%
2021-11-22,237.279999,238.080002,237.279999,237.610001,237.610001,12855,96.872,96.775,96.8,96.66,5770,0.00%
2021-11-19,238.080002,238.850006,237.809998,238.559998,238.559998,22145,96.872,96.535,96.94,96.44,14110,0.39%
2021-11-18,239.449997,240.119995,238.970001,238.970001,238.970001,17374,96.494,96.465,96.615,96.315,15180,-0.05%
2021-11-17,236.190002,237.660004,236.100006,237.279999,237.279999,19060,96.544,96.075,96.56,96.04,21840,0.54%
2021-11-16,236.300003,236.800003,235.919998,236.389999,236.389999,24348,96.028,95.58,96.245,95.58,25090,0.51%
2021-11-15,237.729996,237.729996,235.570007,235.919998,235.919998,40236,95.542,95.805,95.85,95.525,15320,-0.30%
2021-11-12,237.880005,238.240005,237.419998,237.729996,237.729996,16734,95.829,95.925,96.27,95.725,18180,-0.09%
2021-11-11,235.080002,236.529999,234.779999,236.270004,236.270004,39788,95.911,95.485,95.98,95.4,20580,0.53%
2021-11-10,231.339996,231.779999,230.759995,231.089996,231.089996,17533,95.405,95.1,95.595,94.965,17870,0.29%
2021-11-09,229.259995,229.949997,229.149994,229.360001,229.360001,14892,95.128,95.215,95.27,94.995,13250,-0.05%
2021-11-08,228.740005,229.460007,228.630005,229.460007,229.460007,31526,95.175,94.88,95.195,94.835,18190,0.36%
2021-11-05,225.5,226.789993,225.330002,226.339996,226.339996,21371,94.838,93.98,94.9,93.965,28370,0.94%
2021-11-04,221.970001,222.190002,221.5,222.119995,222.119995,9790,93.956,94.1,94.155,93.865,21810,-0.09%
2021-11-03,224.139999,224.259995,223.179993,223.320007,223.320007,31120,94.042,94.295,94.373,93.983,2461,-0.29%
2021-11-02,221.990005,223.199997,221.5,223.020004,223.020004,16146,94.317,94.33,94.645,94.18,32520,-0.03%
2021-11-01,221.5,221.779999,220.699997,221.600006,221.600006,16436,94.341,93.82,94.47,93.82,21380,0.52%
2021-10-29,222.770004,222.949997,221.429993,221.539993,221.539993,19529,93.853,94.1,94.215,93.8,22480,-0.24%
2021-10-28,222.009995,223.940002,222.009995,223.649994,223.649994,18910,94.079,93.935,94.135,93.81,22140,0.21%
2021-10-27,222.949997,223.009995,221.330002,221.570007,221.570007,21651,93.879,94.12,94.31,93.85,21640,-0.26%
2021-10-26,225.009995,225.169998,223.600006,223.910004,223.910004,24787,94.121,93.34,94.3,93.31,34700,0.85%
2021-10-25,223.839996,224.979996,223.440002,224.979996,224.979996,20795,93.326,93.885,93.97,93.265,35630,-0.50%
2021-10-22,222.529999,223.25,222.199997,222.660004,222.660004,13831,93.798,93.955,94.005,93.675,35850,-0.15%
2021-10-21,221.009995,222.399994,220.619995,221.699997,221.699997,37974,93.941,93.83,94.015,93.685,20280,0.14%
2021-10-20,220.699997,221.029999,220.139999,220.550003,220.550003,14429,93.809,93.66,93.96,93.465,25860,0.20%
2021-10-19,222.149994,222.240005,221.660004,222.020004,222.020004,23605,93.625,93.745,93.78,93.51,23480,-0.14%
2021-10-18,222.610001,222.899994,222,222.729996,222.729996,21039,93.758,93.595,93.785,93.475,20250,0.24%
2021-10-15,225.970001,226.190002,225.360001,225.679993,225.679993,15799,93.535,93.8,93.88,93.52,25850,-0.21%
2021-10-14,226.539993,226.729996,225.619995,226.190002,226.190002,31375,93.728,93.95,93.95,93.49,25680,-0.23%
2021-10-13,223.369995,225.100006,223.270004,223.699997,223.699997,56284,93.945,93.94,94.175,93.865,20660,0.01%
2021-10-12,222.470001,223.490005,222.369995,223.25,223.25,18511,93.938,94.035,94.07,93.85,18430,-0.02%
2021-10-11,224.089996,224.419998,223.509995,223.699997,223.699997,26181,93.961,94.01,94.09,93.76,17670,-0.13%
2021-10-08,225.289993,225.289993,223.460007,225.100006,225.100006,18472,94.08,94.525,94.55,94.005,22240,-0.46%
2021-10-07,225.949997,226.100006,225.080002,225.289993,225.289993,10127,94.519,94.395,94.57,94.235,17520,0.20%
2021-10-06,226.350006,226.350006,224.910004,225.220001,225.220001,24365,94.326,94.105,94.415,94.03,19690,0.26%
2021-10-05,226.039993,226.789993,225.589996,225.75,225.75,15469,94.079,94.195,94.345,93.925,32270,-0.15%
2021-10-04,226.089996,226.839996,225.669998,225.820007,225.820007,10239,94.221,94.24,94.29,94.085,14330,-0.05%
2021-10-01,226.070007,226.800003,225.720001,226.479996,226.479996,14699,94.272,93.98,94.455,93.98,28220,0.32%
2021-09-30,224.460007,224.520004,223.940002,223.940002,223.940002,11181,93.967,93.855,94.075,93.815,18790,0.20%
2021-09-29,223,224.149994,223,224.149994,224.149994,13884,93.78,94.09,94.11,93.68,24710,-0.28%
2021-09-28,224.100006,224.639999,222.940002,223.190002,223.190002,14093,94.047,94.32,94.405,94,22850,-0.20%
2021-09-27,224.339996,225.460007,224.339996,225.009995,225.009995,14366,94.24,94.345,94.52,94.12,33910,-0.12%
2021-09-24,225,225,222.679993,224.199997,224.199997,16967,94.353,93.73,94.44,93.685,31450,0.61%
2021-09-23,227.929993,227.940002,227.059998,227.080002,227.080002,12798,93.78,93.405,93.82,93.36,36700,0.43%
2021-09-22,228.800003,229.190002,227.5,228.869995,228.869995,14462,93.381,93.305,93.495,93.195,21080,0.05%
2021-09-21,227.990005,227.990005,225.699997,226.179993,226.179993,35734,93.335,93.09,93.415,93.045,17040,0.33%
2021-09-20,225.100006,225.639999,224.990005,225.600006,225.600006,25293,93.03,93.5,93.53,92.965,24800,-0.46%
2021-09-17,224.380005,225.199997,224.270004,225.199997,225.199997,16924,93.46,93.225,93.515,92.97,32530,0.28%
2021-09-16,228.050003,228.600006,227.509995,227.639999,227.639999,13802,93.2,93.23,93.28,93.04,18770,-0.06%
2021-09-15,229.800003,230.25,229.509995,229.639999,229.639999,45943,93.256,93.23,93.445,93.17,21370,0.09%
2021-09-14,227.080002,227.949997,226.5,227.949997,227.949997,10852,93.176,92.87,93.235,92.745,19160,0.28%
2021-09-13,226.309998,227.699997,226.059998,227.220001,227.220001,13133,92.919,92.45,92.945,92.435,30550,0.42%
2021-09-10,227.100006,227.889999,226.839996,227.889999,227.889999,18131,92.534,92.65,92.67,92.405,23930,-0.09%
2021-09-09,226.759995,227.050003,226.529999,226.839996,226.839996,23045,92.614,92.62,92.665,92.29,19460,-0.04%
2021-09-08,226.820007,227.199997,226.449997,226.880005,226.880005,28534,92.652,92.64,92.88,92.64,1860,0.07%
2021-09-07,228.669998,229.020004,227.75,228.5,228.5,9796,92.59,92.525,92.65,92.33,10520,0.12%
2021-09-06,229.050003,229.330002,228.850006,229.270004,229.270004,13459,92.48,92.71,92.765,92.38,29160,-0.18%
2021-09-03,228.100006,228.619995,227.770004,227.919998,227.919998,21106,92.65,92.545,92.86,92.475,27720,0.15%
2021-09-02,229.440002,230,229.210007,229.389999,229.389999,14725,92.514,92.18,92.575,92.105,32580,0.52%
2021-09-01,231.270004,231.649994,230.860001,231.240005,231.240005,37869,92.033,92.105,92.31,92.1,7090,0.00%
2021-08-31,231.580002,232.089996,231.169998,231.229996,231.229996,24100,92.033,92.24,92.265,91.8,32690,-0.21%
2021-08-30,231.979996,232.580002,231.440002,232.039993,232.039993,18524,92.228,92.51,92.545,92.2,17950,-0.24%
